GID_LAT	GID_LON	mean_1870-1999	mean_1995-1999	mean_2015-2030	0	-nan	0	-nan
-87.5387	11.25	225.9	226.971	228.348	1.071	0.474104	2.448	1.08367
-87.5387	12.65625	225.766	226.842	228.229	1.076	0.4766	2.463	1.09095
-87.5387	14.0625	225.643	226.721	228.102	1.078	0.477746	2.459	1.08977
-87.5387	15.46875	225.521	226.597	227.984	1.076	0.477117	2.463	1.09214
-87.5387	16.875	225.388	226.468	227.854	1.08	0.479174	2.466	1.09411
-87.5387	18.28125	225.268	226.35	227.745	1.082	0.480317	2.477	1.09958
-87.5387	19.6875	225.154	226.237	227.631	1.083	0.481004	2.477	1.10014
-87.5387	21.09375	225.034	226.12	227.519	1.086	0.482594	2.485	1.10428
-87.5387	22.5	224.917	226.006	227.405	1.089	0.484179	2.488	1.10619
-87.5387	23.90625	224.798	225.884	227.287	1.086	0.4831	2.489	1.10722
-87.5387	25.3125	224.69	225.777	227.188	1.087	0.483778	2.498	1.11175
-87.5387	26.71875	224.58	225.674	227.076	1.094	0.487132	2.496	1.11141
-87.5387	28.125	224.469	225.564	226.969	1.095	0.487818	2.5	1.11374
-87.5387	29.53125	224.356	225.451	226.856	1.095	0.488064	2.5	1.1143
-87.5387	30.9375	224.251	225.352	226.759	1.101	0.490968	2.508	1.11839
-87.5387	32.34375	224.142	225.242	226.653	1.1	0.49076	2.511	1.12027
-87.5387	33.75	224.038	225.134	226.551	1.096	0.489203	2.513	1.12168
-87.5387	35.15625	223.939	225.041	226.456	1.102	0.492098	2.517	1.12397
-87.5387	36.5625	223.84	224.946	226.354	1.106	0.494103	2.514	1.12312
-87.5387	37.96875	223.739	224.844	226.256	1.105	0.493879	2.517	1.12497
-87.5387	39.375	223.638	224.746	226.166	1.108	0.495444	2.528	1.1304
-87.5387	40.78125	223.54	224.651	226.071	1.111	0.497003	2.531	1.13224
-87.5387	42.1875	223.437	224.556	225.971	1.119	0.500812	2.534	1.1341
-87.5387	43.59375	223.344	224.453	225.882	1.109	0.496543	2.538	1.13636
-87.5387	45	223.246	224.367	225.785	1.121	0.502137	2.539	1.13731
-87.5387	46.40625	223.154	224.273	225.695	1.119	0.501447	2.541	1.13868
-87.5387	47.8125	223.063	224.188	225.6	1.125	0.504342	2.537	1.13735
-87.5387	49.21875	222.971	224.094	225.514	1.123	0.503653	2.543	1.14051
-87.5387	50.625	222.88	224.008	225.429	1.128	0.506102	2.549	1.14366
-87.5387	52.03125	222.798	223.926	225.349	1.128	0.506288	2.551	1.14498
-87.5387	53.4375	222.709	223.839	225.253	1.13	0.507389	2.544	1.1423
-87.5387	54.84375	222.624	223.752	225.168	1.128	0.506684	2.544	1.14273
-87.5387	56.25	222.54	223.674	225.089	1.134	0.509571	2.549	1.14541
-87.5387	57.65625	222.458	223.59	225.012	1.132	0.50886	2.554	1.14808
-87.5387	59.0625	222.38	223.521	224.936	1.141	0.513086	2.556	1.14938
-87.5387	60.46875	222.301	223.429	224.85	1.128	0.50742	2.549	1.14664
-87.5387	61.875	222.223	223.362	224.779	1.139	0.512548	2.556	1.1502
-87.5387	63.28125	222.151	223.275	224.706	1.124	0.505962	2.555	1.15012
-87.5387	64.6875	222.081	223.219	224.638	1.138	0.512426	2.557	1.15138
-87.5387	66.09375	222.008	223.14	224.558	1.132	0.509892	2.55	1.14861
-87.5387	67.5	221.939	223.071	224.497	1.132	0.51005	2.558	1.15257
-87.5387	68.90625	221.875	223.004	224.43	1.129	0.508845	2.555	1.15155
-87.5387	70.3125	221.815	222.949	224.37	1.134	0.511237	2.555	1.15186
-87.5387	71.71875	221.756	222.883	224.309	1.127	0.508216	2.553	1.15127
-87.5387	73.125	221.699	222.82	224.252	1.121	0.505641	2.553	1.15156
-87.5387	74.53125	221.648	222.767	224.194	1.119	0.504855	2.546	1.14867
-87.5387	75.9375	221.601	222.723	224.144	1.122	0.506315	2.543	1.14756
-87.5387	77.34375	221.56	222.669	224.105	1.109	0.500542	2.545	1.14867
-87.5387	78.75	221.518	222.631	224.062	1.113	0.502442	2.544	1.14844
-87.5387	80.15625	221.484	222.59	224.021	1.106	0.499359	2.537	1.14546
-87.5387	81.5625	221.457	222.563	223.988	1.106	0.49942	2.531	1.14289
-87.5387	82.96875	221.434	222.531	223.963	1.097	0.495407	2.529	1.1421
-87.5387	84.375	221.415	222.514	223.94	1.099	0.496353	2.525	1.14039
-87.5387	85.78125	221.405	222.498	223.928	1.093	0.493665	2.523	1.13954
-87.5387	87.1875	221.401	222.485	223.925	1.084	0.489609	2.524	1.14001
-87.5387	88.59375	221.404	222.48	223.912	1.076	0.485989	2.508	1.13277
-87.5387	90	221.413	222.491	223.915	1.078	0.486873	2.502	1.13001
-87.5387	91.40625	221.43	222.491	223.928	1.061	0.479158	2.498	1.12812
-87.5387	92.8125	221.454	222.516	223.945	1.062	0.479558	2.491	1.12484
-87.5387	94.21875	221.487	222.54	223.98	1.053	0.475423	2.493	1.12557
-87.5387	95.625	221.527	222.578	224.007	1.051	0.474434	2.48	1.1195
-87.5387	97.03125	221.574	222.613	224.04	1.039	0.468918	2.466	1.11295
-87.5387	98.4375	221.637	222.668	224.094	1.031	0.465175	2.457	1.10857
-87.5387	99.84375	221.703	222.731	224.155	1.028	0.463683	2.452	1.10598
-87.5387	101.25	221.781	222.802	224.218	1.021	0.460364	2.437	1.09883
-87.5387	102.65625	221.862	222.872	224.292	1.01	0.455238	2.43	1.09528
-87.5387	104.0625	221.963	222.964	224.38	1.001	0.450976	2.417	1.08892
-87.5387	105.46875	222.064	223.059	224.47	0.995	0.448069	2.406	1.08347
-87.5387	106.875	222.179	223.163	224.573	0.984	0.442886	2.394	1.07751
