GID_LAT,GID_LON,mean_1870-1999,mean_1995-1999,mean_2015-2030,abs_diff_1995-1999_1870-1999,prct_abs_diff_1995-1999_1870-1999,abs_diff_2015-2030_1870-1999,prct_abs_diff_2015-2030_1870-1999
-88.92773,-16.875,5.00138,5.52516,6.07889,0.52378,10.4727,1.07751,21.5443
-88.92773,-15.46875,4.97224,5.49296,6.04806,0.52072,10.4725,1.07582,21.6365
-88.92773,-14.0625,4.944,5.45757,6.01863,0.51357,10.3877,1.07463,21.736
-88.92773,-12.65625,4.91754,5.41643,5.98381,0.49889,10.1451,1.06627,21.683
-88.92773,-11.25,4.89114,5.39006,5.95407,0.49892,10.2005,1.06293,21.7317
-88.92773,-9.84375,4.86232,5.36558,5.92228,0.50326,10.3502,1.05996,21.7995
-88.92773,-8.4375,4.83631,5.34206,5.90093,0.50575,10.4574,1.06462,22.0131
-88.92773,-7.03125,4.81048,5.30564,5.8651,0.49516,10.2934,1.05462,21.9234
-88.92773,-5.625,4.78545,5.26678,5.83852,0.48133,10.0582,1.05307,22.0057
-88.92773,-4.21875,4.76024,5.24022,5.81008,0.47998,10.0831,1.04984,22.0544
-88.92773,-2.8125,4.73742,5.22715,5.76965,0.48973,10.3375,1.03223,21.7889
-88.92773,-1.40625,4.71252,5.20271,5.73463,0.49019,10.4019,1.02211,21.6892
-87.5387,0,4.38024,4.95425,5.44359,0.57401,13.1045,1.06335,24.2761
-87.5387,1.40625,4.33462,4.91624,5.38887,0.58162,13.418,1.05425,24.3216
-87.5387,2.8125,4.29066,4.86328,5.33318,0.57262,13.3457,1.04252,24.2974
-87.5387,4.21875,4.24918,4.81853,5.28696,0.56935,13.3991,1.03778,24.4231
-87.5387,5.625,4.20603,4.74803,5.24596,0.542,12.8863,1.03993,24.7247
-87.5387,7.03125,4.16511,4.71368,5.18973,0.54857,13.1706,1.02462,24.6001
-87.5387,8.4375,4.12791,4.6808,5.14676,0.55289,13.3939,1.01885,24.682
-87.5387,9.84375,4.08954,4.63156,5.09507,0.54202,13.2538,1.00553,24.5879
-87.5387,11.25,4.05253,4.58155,5.04697,0.52902,13.0541,0.99444,24.5387
-87.5387,12.65625,4.0198,4.54481,5.00889,0.52501,13.0606,0.98909,24.6055
-87.5387,14.0625,3.98483,4.51073,4.97344,0.5259,13.1976,0.98861,24.8093
-87.5387,15.46875,3.9515,4.4795,4.93517,0.528,13.362,0.98367,24.8936
-87.5387,16.875,3.9221,4.42507,4.89881,0.50297,12.824,0.97671,24.9027
-87.5387,18.28125,3.88964,4.38956,4.85744,0.49992,12.8526,0.9678,24.8815
-87.5387,19.6875,3.85988,4.35676,4.81947,0.49688,12.8729,0.95959,24.8606
-87.5387,21.09375,3.83217,4.33057,4.79129,0.4984,13.0057,0.95912,25.0281
-87.5387,22.5,3.80406,4.29293,4.76268,0.48887,12.8513,0.95862,25.1999
-87.5387,23.90625,3.77849,4.25943,4.72818,0.48094,12.7284,0.94969,25.1341
-87.5387,25.3125,3.75309,4.24036,4.69046,0.48727,12.9832,0.93737,24.976
-87.5387,26.71875,3.72704,4.19548,4.66366,0.46844,12.5687,0.93662,25.1304
-87.5387,28.125,3.70129,4.17514,4.63301,0.47385,12.8023,0.93172,25.1728
-87.5387,29.53125,3.6795,4.15912,4.60393,0.47962,13.0349,0.92443,25.1238
-87.5387,30.9375,3.65725,4.13791,4.57542,0.48066,13.1427,0.91817,25.1055
-87.5387,32.34375,3.63598,4.10715,4.55004,0.47117,12.9585,0.91406,25.1393
-87.5387,33.75,3.61324,4.0762,4.52851,0.46296,12.8129,0.91527,25.331
-87.5387,35.15625,3.59348,4.04797,4.50433,0.45449,12.6476,0.91085,25.3473
-87.5387,36.5625,3.5727,4.01876,4.46852,0.44606,12.4852,0.89582,25.074
-87.5387,37.96875,3.55245,3.99575,4.4379,0.4433,12.4787,0.88545,24.9251
-87.5387,39.375,3.53281,3.98396,4.41452,0.45115,12.7703,0.88171,24.9578
-87.5387,40.78125,3.51633,3.96011,4.39247,0.44378,12.6205,0.87614,24.9163
-87.5387,42.1875,3.50193,3.94168,4.36495,0.43975,12.5574,0.86302,24.6441
-87.5387,43.59375,3.48465,3.91971,4.3475,0.43506,12.485,0.86285,24.7615
-87.5387,45,3.46765,3.88649,4.32903,0.41884,12.0785,0.86138,24.8405
