GID_GRUMP	GEONAMEIDS	ASCIINAMES	GEONAME_POP	GRUMP_POP
38189	305742	Kulu	47037	28016
38197	307786	Kinik	10753	19987
38198	300791	Simav	34909	28420
38200	4397211	Marshall	13065	13827
38205	2524533|2525362	Carbonia|Iglesias	44323	71841
38218	5403676	Truckee	16180	39553
38223	304196	Mucur	16522	12355
38224	298846	Tunceli	29062	25011
38225	320448	Bulanik	31430	23966
38235	264559	Arta	19540	39287
38241	2262581	"Torres Vedras"	24443	40027
38248	316726	Dikili	14125	14555
38293	5417258|5422534|5423573	"Clifton|Fruita|Grand Junction"	91101	110018
38297	317241	Demirci	21378	21188
38301	4254679	Bloomington	80405	108330
38302	4142290|4144764	Dover|Smyrna	46070	81945
38304	323721	Arapgir	10022	15523
38313	4273680|4274994	"Junction City|Manhattan"	75634	88159
38326	315621	Emirdag	20063	20511
38372	1217007	Koson	59681	76773
38381	2111530	Ofunato	35418	24960
38398	315530	Ercis	91915	70949
38424	1219431|1219649	Farap|Turkmenabat	249320	415483
38429	254698	Preveza	17283	13743
38434	2524495|2524881	"Crotone|Isola di Capo Rizzuto"	59749	70921
38435	1216187|1216787	Kitob|Shahrisabz	98989	118756
38437	4412089	Troy	10540	11536
38442	2509553|2518820	"Don Benito|Villanueva de la Serena"	61629	18386
38444	301116	Sereflikochisar	44101	42148
38445	300377	Solhan	15303	22000
38446	161931	Serdar	12000	48308
38448	4264617	Seymour	17503	23442
38450	4500546|4503351|4503646|4504186|4504598	"Atlantic City|Ocean City|Pleasantville|Somers Point|Ventnor City"	92953	307098
38465	5337908	Clearlake	15250	17531
38474	1785036	Zhangye	96228	233460
38481	1871859	Pyongyang	3222000	2232025
38484	4357141|4357176|4557109|4562070	Chambersburg|Hagerstown|Halfway|Waynesboro	81199	326815
38487	2514190|2515284	"La Solana|Manzanares"	35697	11689
38517	4280539	Topeka	127473	163306
38520	2513885|2519402	"Ciudad Real|Miguelturra"	88000	39295
38534	2523087|2523136|2523166|2523665|2523666|2524084|2525379|2525473|2525655	"Assemini|Cagliari|Capoterra|Monserrato|Quartucciu|Quartu Sant'Elena|Selargius|Sestu|Sinnai"	341196	446771
38553	4381982	Columbia	108500	112709
38555	2524013|6534232	"Lamezia Terme|Nicastro-Sambiase"	126188	84683
38560	2511162|2511352|2511448|2516479	"Ibiza|Santa Eularia des Riu|Sant Antoni de Portmany|Sant Josep de sa Talaia"	124021	77596
38564	324698	Akhisar	84659	81677
38588	321082	Bingol	80568	69015
38590	1813344	Dawukou	131880	55290
38593	2110994|2111834|2111859|2112227|2112656|2112823	Hanamaki|Ichinoseki|Kitakami|Mizusawa|Morioka-shi|Shizukuishi	606258	426142
38598	2522258	Albacete	169716	36317
38615	2513917	Merida	56395	19116
38683	4272782	Hays	20510	21920
